time,passenger_load,wind_load,light_load,equipment_load,total_load
0,5.6419999999999995,738.9957065167117,120.0,5.0,869.6377065167118
5,6.006,1018.719191020003,120.0,5.0,1149.725191020003
10,6.37,744.1610081298747,120.0,5.0,875.5310081298747
15,6.734,1035.4271179934033,120.0,5.0,1167.1611179934032
20,7.098,651.9864438651223,120.0,5.0,784.0844438651222
25,7.462,992.3213559766023,120.0,5.0,1124.7833559766023
30,8.008,652.2876746010631,120.0,5.0,785.2956746010632
35,8.372,936.7220647246892,120.0,5.0,1070.0940647246891
40,8.918,722.9212232310834,120.0,5.0,856.8392232310835
45,9.464,1024.3230458970625,120.0,5.0,1158.7870458970624
50,10.01,684.5733585139818,120.0,5.0,819.5833585139818
55,10.556,1014.8054284732152,120.0,5.0,1150.3614284732153
60,11.102,667.2663126707301,120.0,5.0,803.3683126707301
65,11.648,994.3376204594987,120.0,5.0,1130.9856204594987
70,12.376,624.2230710391731,120.0,5.0,761.599071039173
75,12.921999999999999,995.6591534606912,120.0,5.0,1133.5811534606912
80,13.65,709.2260214712145,120.0,5.0,847.8760214712145
85,14.378,1077.8778091076433,120.0,5.0,1217.2558091076432
90,15.106,706.1643805174468,120.0,5.0,846.2703805174468
95,15.834,1033.8338372517248,120.0,5.0,1174.667837251725
100,16.744,664.0491859376743,120.0,5.0,805.7931859376744
105,17.654,954.524552931902,120.0,5.0,1097.178552931902
110,18.381999999999998,624.1879131666169,120.0,5.0,767.5699131666169
115,19.291999999999998,1027.8323049322153,120.0,5.0,1172.1243049322152
120,20.384,695.1488259084617,120.0,5.0,840.5328259084617
125,21.294,1033.349868595636,120.0,5.0,1179.6438685956361
130,22.386,699.1393523661435,120.0,5.0,846.5253523661435
135,23.477999999999998,1037.7563328742542,120.0,5.0,1186.2343328742543
140,24.57,665.8482686401028,120.0,5.0,815.4182686401028
145,25.843999999999998,1017.7654180239762,120.0,5.0,1168.609418023976
150,26.936,659.2279805681835,120.0,5.0,811.1639805681835
155,28.21,979.7181829329534,120.0,5.0,1132.9281829329534
160,29.483999999999998,739.8707631201032,120.0,5.0,894.3547631201033
165,30.939999999999998,1017.8257590927706,120.0,5.0,1173.7657590927706
170,32.214,716.3713752964358,120.0,5.0,873.5853752964358
175,33.67,1002.3885114053327,120.0,5.0,1161.0585114053326
180,35.308,695.4554713642066,120.0,5.0,855.7634713642066
185,36.763999999999996,949.2816799008278,120.0,5.0,1111.045679900828
190,38.402,711.6600897266579,120.0,5.0,875.062089726658
195,40.04,1002.8313324423427,120.0,5.0,1167.8713324423427
200,41.678,728.3608300957413,120.0,5.0,895.0388300957413
205,43.498,992.3587466902655,120.0,5.0,1160.8567466902655
210,45.318,668.3176337819873,120.0,5.0,838.6356337819873
215,47.32,917.8547679158594,120.0,5.0,1090.1747679158593
220,49.14,693.7671484595679,120.0,5.0,867.9071484595679
225,51.141999999999996,1045.20735441257,120.0,5.0,1221.3493544125702
230,53.144,739.0315464935024,120.0,5.0,917.1755464935025
235,55.327999999999996,970.5154303306966,120.0,5.0,1150.8434303306967
240,57.512,678.8095991426682,120.0,5.0,861.3215991426682
245,59.696,965.2694613605989,120.0,5.0,1149.965461360599
250,62.062,679.0245129907238,120.0,5.0,866.0865129907238
255,64.428,942.5046729083188,120.0,5.0,1131.9326729083186
260,66.976,689.0250919971211,120.0,5.0,881.0010919971211
265,69.342,965.7684007648834,120.0,5.0,1160.1104007648835
270,71.89,701.0724208088935,120.0,5.0,897.9624208088935
275,74.62,941.3186076404338,120.0,5.0,1140.938607640434
280,77.35,743.8197365008564,120.0,5.0,946.1697365008564
285,80.08,1003.9275099388024,120.0,5.0,1209.0075099388023
290,82.81,720.6250925537497,120.0,5.0,928.4350925537497
295,85.722,994.2832259567999,120.0,5.0,1205.0052259568
300,88.634,637.7240142957061,120.0,47.94864381778533,894.3066581134914
305,91.728,1012.0284140998599,120.0,50.06051721040042,1273.8169313102603
310,94.822,759.574253154246,120.0,53.17020967227636,1027.5664628265224
315,97.916,965.535849256274,120.0,47.13746163034367,1230.5893108866178
320,101.192,654.8517942664236,120.0,48.27541133392282,924.3192056003463
325,104.468,969.1740784247743,120.0,50.37103258890856,1244.0131110136829
330,107.744,736.8696722096756,120.0,51.66052384686334,1016.274196056539
335,111.202,957.0365300142541,120.0,45.0462049869226,1233.2847350011768
340,114.478,732.3425135513295,120.0,48.7323593862481,1015.5528729375775
345,118.118,1020.3944858324958,120.0,47.659697828122624,1306.1721836606184
350,121.576,662.2545381525581,120.0,48.74841108786642,952.5789492404245
355,125.216,967.3024250084821,120.0,47.60584635585782,1260.12427136434
360,129.03799999999998,689.3868647025137,120.0,51.67131262979013,990.0961773323038
365,132.678,1092.1905915122402,120.0,46.93845091110299,1391.807042423343
370,136.5,601.4877160624791,120.0,51.42071826667268,909.4084343291518
375,140.322,1006.3208354444685,120.0,54.68864526417849,1321.3314807086467
380,144.326,632.8799896817902,120.0,52.74370502504404,949.9496947068343
385,148.148,1029.4192647373802,120.0,49.08576768075028,1346.6530324181304
390,152.152,677.9710935763128,120.0,51.96743414923784,1002.0905277255507
395,156.338,1002.8019412502301,120.0,45.60304793796947,1324.7429891881995
400,160.34199999999998,710.5456558514005,120.0,48.77825960398074,1039.6659154553813
405,164.528,986.3453708241697,120.0,54.980265330957046,1325.8536361551267
410,168.714,648.7741384601418,120.0,55.135985593438186,992.6241240535799
415,172.9,1046.7784277874732,120.0,54.282645587340326,1393.9610733748136
420,177.08599999999998,619.4875202576017,120.0,50.985704263887484,967.5592245214891
425,181.272,1020.1586327528935,120.0,53.78176759310246,1375.2124003459958
430,185.64,685.8700829438853,120.0,47.62115196408396,1039.1312349079692
435,190.00799999999998,1022.1640435001227,120.0,51.581664305198004,1383.7537078053208
440,194.376,673.9987904648737,120.0,54.574168263511005,1042.9489587283847
445,198.744,1013.7961898392722,120.0,46.352212651727555,1378.8924024909998
450,203.112,724.4279295633424,120.0,45.69645602432321,1093.2363855876656
455,207.48,1008.6582758967014,120.0,51.086081058649,1387.2243569553502
460,211.84799999999998,744.4462263738858,120.0,47.85708231175334,1124.1513086856392
465,216.216,958.8310050552259,120.0,52.8490690371661,1347.896074092392
470,220.766,698.0788514046905,120.0,49.549277150823585,1088.394128555514
475,225.134,1027.7307658137547,120.0,47.695236102592915,1420.5600019163476
480,229.50199999999998,707.8016594109852,120.0,52.42539128828477,1109.72905069927
485,233.87,941.0494542612124,120.0,48.59641370900957,1343.515867970222
490,238.238,699.2707167577961,120.0,51.45627338306741,1108.9649901408634
495,242.606,1019.686552059517,120.0,51.77017822579488,1434.0627302853118
500,246.974,643.319246504145,120.0,47.629433994112865,1057.9226804982577
505,251.34199999999998,991.4810124861306,120.0,48.58885406273791,1411.4118665488686
510,255.70999999999998,686.9439063095581,120.0,51.35695876464223,1114.0108650742004
515,259.896,1004.380172977059,120.0,52.87911303866896,1437.155286015728
520,264.264,614.550216048419,120.0,51.20741108352585,1050.0216271319448
525,268.45,990.2027301679742,120.0,49.59481003837026,1428.2475402063444
530,272.63599999999997,666.8084719773191,120.0,55.54446005753643,1114.9889320348557
535,276.64,1054.5352076139627,120.0,44.07383744732934,1495.2490450612922
540,280.82599999999996,771.4292730319717,120.0,51.44568829200761,1223.7009613239793
545,284.83,1009.1149150648641,120.0,50.3977646348901,1464.3426796997542
550,288.834,619.6997008688235,120.0,50.97082642301013,1079.5045272918335
555,292.656,1038.3521492745738,120.0,47.50501095418663,1498.5131602287604
560,296.478,755.2397527470134,120.0,51.79602962628188,1223.5137823732953
565,300.3,929.077282266091,120.0,51.00299305149612,1400.3802753175871
570,303.94,701.2888249278453,120.0,52.866456662141104,1178.0952815899864
575,307.58,1011.8302211304342,120.0,49.159083793685426,1488.5693049241195
580,311.038,609.415400979264,120.0,51.549270589907884,1092.0026715691718
585,314.496,1025.4714859434016,120.0,52.90400322387582,1512.8714891672776
590,317.954,699.1614378307187,120.0,47.86748851640772,1184.9829263471265
595,321.048,996.9568405791955,120.0,47.93082881289836,1485.9356693920938
600,324.324,669.2998266427533,120.0,47.78618906611949,1161.4100157088728
605,327.418,968.184751487853,120.0,48.19261351379778,1463.7953650016507
610,330.33,665.0723307173687,120.0,45.579368678978135,1160.9816993963468
615,333.242,962.7089271097303,120.0,49.400982021423786,1465.3519091311541
620,335.972,723.116878215539,120.0,47.41995465173625,1226.508832867275
625,338.52,1012.1324618307394,120.0,46.827747764870246,1517.4802095956097
630,341.068,707.7833477663477,120.0,52.35238918905679,1221.2037369554046
635,343.43399999999997,980.5330293840132,120.0,52.99267102339732,1496.9597004074105
640,345.8,674.2468257058715,120.0,51.25771800515884,1191.3045437110304
645,347.80199999999996,1009.287717071519,120.0,49.84586306503153,1526.9355801365505
650,349.986,703.0265039806111,120.0,50.63217463565955,1223.6446786162708
655,351.806,1018.4926275101892,120.0,50.08779105081444,1540.3864185610037
