time,total_load_hvac
0,10.855087351855559
5,11.546300074160028
10,12.66391780272496
15,11.308619954640072
20,11.878752405412135
25,13.980095157286218
30,13.583730373095912
35,12.487204366374957
40,14.154829564102977
45,13.512267298048728
50,13.751801296000197
55,14.93918624567488
60,12.883614473461247
65,13.670562247534065
70,15.55292931540369
75,15.4640267458058
80,18.144461653061605
85,16.675289206881228
90,16.5415123540519
95,21.84897818600239
100,19.68638190717565
105,87.0128470659256
110,79.71939659935843
115,87.03238756904366
120,93.54084374430539
125,88.25948695504611
130,101.94281545291362
135,95.76643498507372
140,97.75616012114898
145,98.63062348399939
150,121.95778520005886
155,108.91139018848706
160,103.779175291549
165,123.93138171947868
170,108.51953287147467
175,125.88958690567785
180,105.80627898201736
185,116.86627315212527
190,132.1858961589628
195,141.74824808075272
200,141.56361419844384
205,142.50179095279483
210,145.09234549089658
215,132.5468897243961
220,145.32317573066157
225,154.8660101202155
230,178.53866053431173
235,173.03498259817025
240,148.2455166568246
245,183.54154143403994
250,176.28504759408702
255,179.21011230633638
260,201.2602580110116
265,213.72676191011985
270,219.97148455389595
275,195.93145945291033
280,208.67231223134687
285,227.54003831942873
290,242.1198131333136
295,224.26112593370732
300,235.6046861192914
305,222.9113873010274
310,227.62219892575732
315,278.2950309873521
320,295.6368645264013
325,271.0730268107282
330,302.741553543205
335,297.5050518987766
340,279.9931102990005
345,313.1806969066005
350,348.08718193102953
355,317.8617659165884
360,375.7122357578045
365,269.11778167379526
370,373.324216446368
375,361.32453608385885
380,359.3351223576654
385,375.3426649349569
390,321.0071204862845
395,385.5516874412839
400,412.9385869943026
405,459.0098220382758
410,400.1511360561395
415,399.8157557691811
420,423.73980675763454
425,480.96567088876327
430,467.89799034745926
435,452.6804875525335
440,505.5859362739364
445,498.30396253386067
450,542.5383286813686
455,484.75838621612803
460,509.1761201379659
465,514.9530204118822
470,480.7184662099651
475,564.9179673232691
480,574.8046185037825
485,581.3570918755951
490,578.2549029501855
495,531.2021313003153
500,588.7365830673662
505,602.8276061717826
510,591.2428602033789
515,633.1500557873816
520,671.4408537315886
525,766.4212093370205
530,686.9970833649362
535,702.0589741482332
540,691.0209301513662
545,599.6450295548544
550,713.4760436230803
555,730.6223472626699
560,876.907948870602
565,729.3156054423565
570,776.6470762437775
575,767.0488584597084
580,703.9703433448931
585,853.6898423116976
590,840.5909715287713
595,852.2475412527601
600,748.7739814641759
605,902.5640967128816
610,732.5087469954896
615,868.3218604009026
620,993.4526081862114
625,783.9520732942477
630,819.7383399743628
635,869.872633592926
640,832.3506042229031
645,766.7794891339481
650,880.626250409855
655,807.3985532840463
660,918.7280847543967
665,824.4331179359662
670,1002.0411826960035
675,840.0499453255052
680,877.6215924449177
685,959.0666569818263
690,814.6314489416918
695,920.2686552718646
700,998.5155047602199
705,791.2672407919443
710,916.751372899003
715,939.2155399912454
720,965.9722836954444
725,815.3770926116806
730,809.3347656303736
735,946.2121933869648
740,927.7012268912993
745,919.4646871702564
750,924.0718562826842
755,849.4985948328939
760,910.7905367574385
765,908.2636930268949
770,832.2003526272626
775,1014.9377677895969
780,909.6498199471126
785,790.368855988208
790,910.9542413237576
795,790.6177028758161
800,912.0288120318891
805,928.416310203637
810,787.4000623499795
815,893.5717883814136
820,848.1570143923965
825,869.7931726384937
830,932.8176749899986
835,781.723920894164
840,744.5321729318448
845,729.6668259827841
850,724.2430079170072
855,764.3639675879571
860,779.6191074420923
865,760.5435394350341
870,782.9756298620216
875,724.4432720849944
880,798.5966084964145
885,693.2684508730591
890,848.3021245188296
895,718.7982086328959
900,630.9171447179191
905,608.4129132445087
910,675.8948635936879
915,629.1588662432323
920,668.0398315346462
925,643.4746082612274
930,606.4168576735233
935,558.4065375406852
940,517.7445344560238
945,558.0560539830241
950,602.1681798964576
955,561.3975245925012
960,488.0526277829317
965,540.6344107058761
970,540.0539253070755
975,473.1891843330864
980,508.07769380517556
985,496.55211287853666
990,437.71034458092123
995,488.2737982605517
1000,475.06105535681564
1005,485.99743526628987
1010,474.4239608285468
1015,381.22728562946395
1020,389.83445382455767
1025,428.7301073486433
1030,415.64047158654364
1035,408.14188899440126
1040,501.3493751147655
1045,392.3008908831641
1050,398.59753813619795
1055,384.9567693339758
1060,366.31849399082586
1065,333.9456270222526
1070,350.86357047875623
1075,298.57705894479204
1080,303.7961057280897
1085,290.21619751200467
1090,296.32087562902416
1095,339.2556674856137
1100,237.63514502759807
1105,289.99129165178755
1110,232.00715311233017
1115,249.06485216984697
1120,275.6777844930249
1125,246.9486048881198
1130,219.12343634140873
1135,216.72102391466788
1140,240.81549757706767
1145,209.23118165074638
1150,219.2919316719202
1155,210.09420980772236
1160,193.10080055999404
1165,233.32880109224342
1170,206.3262320947641
1175,157.25985501116313
1180,185.9612696732961
1185,168.13211290459216
1190,184.00758430121599
1195,157.15095430438754
1200,160.92167508612988
1205,167.44717647585875
1210,165.66136161503195
1215,136.9362507652814
1220,142.3350806293659
1225,136.7033745558392
1230,132.56231108483294
1235,154.92687947681785
1240,137.06396595671796
1245,115.78528909667887
1250,135.36818521759
1255,142.00425861217747
1260,127.93851595097861
1265,104.03308648121363
1270,108.33856690296572
1275,122.620695784811
1280,101.93325306720561
1285,110.11949742176682
1290,108.98784424258386
1295,92.9751725636947
1300,97.15906116334354
1305,70.40493697745444
1310,87.01051975804653
1315,90.0953108944305
1320,79.13839765813243
1325,98.25925628010766
1330,17.891991093629787
1335,18.896503094684224
1340,18.858706141134313
1345,20.227672240571806
1350,15.458370836858135
1355,18.431607901657042
1360,16.333860693789614
1365,14.360333534565498
1370,15.924721844340883
1375,15.0514335135815
1380,13.783756786849423
1385,14.181250712285738
1390,13.356199465731848
1395,13.273961113448603
1400,13.3337648585168
1405,13.986851257759687
1410,10.848186598910024
1415,13.561310010296442
1420,9.74078595889696
1425,11.017077338209253
1430,11.30987666446745
1435,10.823455153272732
0,10.18739816785948
5,11.006147337030095
10,10.88650591256353
15,11.00971479327105
20,12.816151997224063
25,12.761359290749468
30,12.154691146254871
35,13.983286446007122
40,13.756064269383149
45,14.85449155220051
50,15.024496876390028
55,14.038351641062494
60,14.525506153737973
65,16.63754098454641
70,17.227550943590188
75,17.063919160413423
80,17.65870671258364
85,19.769846912264725
90,17.761183104979132
95,20.213607030699112
100,19.847185322089985
105,86.66635563549119
110,97.55240422381672
115,98.51362202703639
120,102.1527262943101
125,105.56426600531348
130,98.67534356426204
135,103.4621266860845
140,100.64933105312781
145,107.45015292634882
150,106.10107981798704
155,112.86251610568304
160,118.0266212780043
165,108.43233993741131
170,140.23350004137083
175,109.5241785306189
180,113.0213619328478
185,138.5445903572996
190,140.21603849399375
195,143.5153806984531
200,147.04373389663442
205,142.593901426359
210,137.61650707900992
215,151.41455435696452
220,145.17661339613352
225,171.98170530926154
230,161.73698784311426
235,157.84084872314378
240,168.01570028656297
245,182.75382103641627
250,172.75357977426634
255,177.04800857656892
260,196.89798435723603
265,201.57994665901776
270,195.5660830113568
275,201.98567628512632
280,218.55714947331478
285,195.4718231540192
290,201.88715829100747
295,220.12136053472233
300,232.93953299687578
305,251.7459370191088
310,280.98766621390513
315,276.61465411891925
320,261.77349341793933
325,273.4141046209159
330,258.39402037352784
335,284.99719646202453
340,288.9992077490226
345,310.3635107242176
350,289.8373528817647
355,330.3729490797256
360,372.7435776512425
365,338.27754670492635
370,358.9423229995719
375,378.38676207116544
380,356.4062465861351
385,379.8652073639336
390,384.9925542625706
395,396.39998552973174
400,377.00289127220634
405,411.51843068844227
410,435.91830845300825
415,476.7687096671302
420,470.7070069413472
425,525.0419131973595
430,428.789975179966
435,505.7038653466087
440,490.3456210626979
445,579.1327515054099
450,470.1433006312693
455,477.2549617477508
460,498.7347827433507
465,442.2264806377979
470,520.2672059582899
475,518.9782782581207
480,570.6804147916986
485,597.216058443765
490,678.2324532270513
495,647.3010961992404
500,582.0095155607686
505,573.7039154495112
510,656.2406825097519
515,570.4402047475237
520,742.6911277745039
525,730.0525461609838
530,651.4336827730732
535,591.5738646595019
540,768.8206631145122
545,701.7392517405257
550,786.1075130189355
555,633.023875945115
560,700.032549977718
565,744.8441653348825
570,761.6448646925207
575,739.0194681274486
580,814.295035785955
585,718.480538482773
590,782.1071615693555
595,811.5202606654285
600,840.2877792076462
605,860.0622168614736
610,751.8714397576068
615,726.0640630130455
620,931.0392117471101
625,870.5219692263227
630,804.6017204242361
635,968.7524676464794
640,872.2478292486921
645,955.2945330016445
650,884.332873594501
655,1027.187050988584
660,1008.2532573581487
665,873.0149754442939
670,964.3032856307374
675,942.9974369976944
680,997.6077638967762
685,833.5114477864141
690,951.366830258541
695,980.7529267739901
700,778.4000555001843
705,819.8176475319492
710,757.938787724901
715,896.8971471783469
720,962.3867604205059
725,1015.1468117941268
730,912.0361829091094
735,1024.4777436949237
740,803.9844854973453
745,777.3599762361886
750,895.4937641735745
755,925.1928748050246
760,892.3488823861147
765,744.09396030763
770,885.175133421038
775,791.6632890678129
780,922.9622335134907
785,901.6752782773486
790,801.3316521672639
795,828.2343971833836
800,783.9544157705819
805,845.0695663063694
810,909.4661614414399
815,761.2244674469426
820,854.9941861819188
825,782.9324233379361
830,758.0662229723682
835,798.0905402244646
840,727.3208381781451
845,749.3226214757676
850,700.5630010878077
855,889.7556089924108
860,761.9455397989148
865,699.6409226813648
870,748.5911655442513
875,715.9622061641704
880,702.7650121079029
885,742.0664103777297
890,739.428335150794
895,658.0244572284028
900,646.8017024477297
905,652.714985618785
910,529.7603435383619
915,560.0069053857577
920,697.126153710196
